21.744,37.797
11.892,71.59
5.5799,157.33
15.763,261.95
5.5917,316.82
8.9387,352.58
13.072,395.11
13.425,451
5.0256,489.44
27.234,488.69
9.0601,541.38
9.9691,595.71
9.6174,221.11
11.34,472.94
9.8955,421.38
24.588,563.01
40.482,314.29
44.144,384.04
28.911,82.801
55.523,253.53
25.16,242.93
30.524,440.82
47.866,10.384
36.86,588.73
33.1,406.13
75.522,195.02
45.964,435.66
34.878,538.27
49.173,535.67
45.099,341.9
48.872,223.02
44.615,29.974
51.965,114.63
45.922,416.69
67.494,571.99
58.434,35.951
54.513,602.15
63.858,348.64
74.792,455.97
65.079,415.9
67.61,222.98
69.513,514.07
74.189,236.62
75.137,392.87
75.274,3.3871
77.325,61.77
79.443,501.7
79.372,35.959
83.161,318.64
83.682,342.2
81.155,537.08
81.432,300.57
84.128,379.15
83.135,422.96
88.858,573.85
92.632,272.91
99.258,96.892
92.878,397.71
88.81,306.05
97.69,437.32
118,501
99.126,596.79
99.441,360.93
102.05,229.69
101.53,262.27
105.4,320.56
102.82,26.934
102.31,269.98
108.54,342.13
113.72,132.67
118.63,542.35
116.42,396.44
122.39,240.46
112.1,567.76
114.68,4.4933
119.56,363.25
117.39,426.43
117.86,580.49
115.93,601.62
117.63,321.55
126.82,63.568
125.12,156.68
133.09,216.26
126.43,339.16
134.77,90.272
131.73,522.71
137.47,394.87
149.38,482.35
146.05,324.33
136.53,5.6813
140.4,558.74
140.52,278.78
143.92,441.32
143.94,360.58
150,581.82
147.27,262.79
156.01,167.06
150.72,212.59
157.06,73.154
157.79,292.42
160.98,526.47
170.67,538.09
162.94,132.47
169.03,554.57
163.55,356.76
169.76,115.86
172.62,503.53
183.5,312.46
177.88,30.574
175.27,218.46
185.26,466.69
177.48,192.06
183.09,233.92
185.69,47.261
194.13,100.31
180.28,337.12
180.89,141.22
194.57,269.82
183.27,151.65
185.88,576.79
187.03,203.3
185,209.84
190.66,527.13
189.69,189.19
191.36,436.66
194.81,603.44
198.22,553.88
197.47,158.84
193.87,344.41
197.58,501.7
196.88,69.548
198.45,217.27
198.55,595.43
205.01,422.78
204.06,132.6
214.01,311.28
202.99,482.29
206.47,388.23
208.83,206.23
226.45,81.408
206.1,227.55
212.3,5.2736
210.62,255.01
217.43,467.73
212.53,54.625
214.35,442.7
211.29,561.51
210.73,410.73
223.76,598.84
217.5,155.14
215.46,236.75
219.83,547.01
240.52,502.57
223.81,34.996
235.2,283.44
238.57,362.76
225.21,171.51
224.68,292.74
223.14,400.37
227.36,258.28
228.04,64.745
228.51,189.25
225.67,424.59
226.66,573.88
231.04,120.38
227.82,388.71
231.43,54.852
242.64,241.61
236.85,312.86
238.75,35.031
244.36,594.01
245.87,202.76
254.25,47.188
249.56,167.47
263.62,311.91
254.61,26.258
253.1,414.82
253.36,137.36
258.94,269.4
258.43,148.46
256.85,307.54
269.75,216.26
264.23,102.76
271.78,124.04
271.06,175.74
265.1,602.4
265.04,405.92
281.14,597.78
271.27,345.5
277.31,369.68
271.47,239.77
285.22,573.71
283.44,447.68
277,78.965
290.9,155.2
297.98,468.91
276.58,533.88
281.55,255.82
283.94,393.18
279,129.47
283,550
285.42,408.66
285.96,332.69
294.39,47.025
291.77,300.1
291.59,72.459
291.93,63.067
316.19,103.86
295.79,429.68
301.08,533.25
304.09,281.01
304.98,412.38
305.84,58.81
316.99,253.86
327.38,563.5
311.91,164.07
319.42,596.84
314.22,343.19
313.94,377.55
312.52,205.5
318.93,137.72
328.68,521.22
